Rank,Player,Avg Pick,Team,Pos,UID
1,Adrian Peterson,1.34,MIN,RB,AdrianPeterson1
2,Doug Martin,3.41,TBB,RB,DougMartin2
3,Arian Foster,4.71,HOU,RB,ArianFoster3
4,Jamaal Charles,6.54,KCC,RB,JamaalCharles4
5,Calvin Johnson,6.99,DET,WR,CalvinJohnson5
6,Ray Rice,8.12,BAL,RB,RayRice6
7,C.J. Spiller,8.18,BUF,RB,CJSpiller7
8,Trent Richardson,9.27,IND,RB,TrentRichardson8
9,Marshawn Lynch,9.37,SEA,RB,MarshawnLynch9
10,LeSean McCoy,9.67,PHI,RB,LeSeanMcCoy10
11,A.J. Green,15.31,CIN,WR,AJGreen11
12,Alfred Morris,15.36,WAS,RB,AlfredMorris12
13,Matt Forte,15.68,CHI,RB,MattForte13
14,Dez Bryant,15.83,DAL,WR,DezBryant14
15,Aaron Rodgers,16.14,GBP,QB,AaronRodgers15
16,Drew Brees,18.23,NOS,QB,DrewBrees16
17,Brandon Marshall,19.50,CHI,WR,BrandonMarshall17
18,Julio Jones,20.18,ATL,WR,JulioJones18
19,Jimmy Graham,20.32,NOS,TE,JimmyGraham19
20,Chris Johnson,21.77,TEN,RB,ChrisJohnson20
21,Steven Jackson,22.39,ATL,RB,StevenJackson21
22,Demaryius Thomas,23.06,DEN,WR,DemaryiusThomas22
23,Maurice Jones-Drew,27.23,JAC,RB,MauriceJonesDrew23
24,Reggie Bush,27.52,DET,RB,ReggieBush24
25,Larry Fitzgerald,27.87,ARI,WR,LarryFitzgerald25
26,Peyton Manning,28.98,DEN,QB,PeytonManning26
27,Andre Johnson,29.48,HOU,WR,AndreJohnson27
28,Stevan Ridley,30.57,NEP,RB,StevanRidley28
29,Randall Cobb,30.77,GBP,WR,RandallCobb29
30,Roddy White,32.49,ATL,WR,RoddyWhite30
31,Victor Cruz,34.83,NYG,WR,VictorCruz31
32,DeMarco Murray,35.10,DAL,RB,DeMarcoMurray32
33,David Wilson,36.23,NYG,RB,DavidWilson33
34,Frank Gore,36.33,SFO,RB,FrankGore34
35,Darren Sproles,37.26,NOS,RB,DarrenSproles35
36,Tom Brady,38.61,NEP,QB,TomBrady36
37,Vincent Jackson,39.43,TBB,WR,VincentJackson37
38,Cam Newton,39.59,CAR,QB,CamNewton38
39,Wes Welker,41.34,DEN,WR,WesWelker39
40,Darren McFadden,41.98,OAK,RB,DarrenMcFadden40
41,Rob Gronkowski,44.84,NEP,TE,RobGronkowski41
42,Marques Colston,45.53,NOS,WR,MarquesColston42
43,Matt Ryan,45.96,ATL,QB,MattRyan43
44,Danny Amendola,46.47,NEP,WR,DannyAmendola44
45,Dwayne Bowe,46.52,KCC,WR,DwayneBowe45
46,Reggie Wayne,47.91,IND,WR,ReggieWayne46
47,Lamar Miller,48.53,MIA,RB,LamarMiller47
48,Jason Witten,52.50,DAL,TE,JasonWitten48
49,Eddie Lacy,52.82,GBP,RB,EddieLacy49
50,Colin Kaepernick,53.05,SFO,QB,ColinKaepernick50
51,Jordy Nelson,53.76,GBP,WR,JordyNelson51
52,Hakeem Nicks,53.94,NYG,WR,HakeemNicks52
53,Torrey Smith,58.12,BAL,WR,TorreySmith53
54,Pierre Garcon,58.20,WAS,WR,PierreGarcon54
55,Matthew Stafford,59.12,DET,QB,MatthewStafford55
56,Eric Decker,60.22,DEN,WR,EricDecker56
57,Vernon Davis,60.36,SFO,TE,VernonDavis57
58,Ryan Mathews,60.45,SDC,RB,RyanMathews58
59,Antonio Brown,60.77,PIT,WR,AntonioBrown59
60,Andrew Luck,61.68,IND,QB,AndrewLuck60
61,Mike Wallace,62.22,MIA,WR,MikeWallace61
62,Tony Gonzalez,62.45,ATL,TE,TonyGonzalez62
63,Robert Griffin III,63.06,WAS,QB,RobertGriffinIII63
64,Montee Ball,63.62,DEN,RB,MonteeBall64
65,Giovani Bernard,67.54,CIN,RB,GiovaniBernard65
66,Steve Smith,69.17,CAR,WR,SteveSmith66
67,Russell Wilson,71.12,SEA,QB,RussellWilson67
68,DeSean Jackson,71.46,PHI,WR,DeSeanJackson68
69,James Jones,73.23,GBP,WR,JamesJones69
70,Tony Romo,73.54,DAL,QB,TonyRomo70
71,T.Y. Hilton,76.62,IND,WR,TYHilton71
72,Le'Veon Bell,77.76,PIT,RB,LeVeonBell72
73,Ahmad Bradshaw,79.38,IND,RB,AhmadBradshaw73
74,Chris Ivory,79.71,NYJ,RB,ChrisIvory74
75,Daryl Richardson,80.65,STL,RB,DarylRichardson75
76,Tavon Austin,80.76,STL,WR,TavonAustin76
77,Shane Vereen,81.41,NEP,RB,ShaneVereen77
78,Stevie Johnson,82.94,BUF,WR,StevieJohnson78
79,Greg Jennings,83.46,MIN,WR,GregJennings79
80,Cecil Shorts,84.07,JAC,WR,CecilShorts80
81,Rashard Mendenhall,84.91,ARI,RB,RashardMendenhall81
82,Miles Austin,87.21,DAL,WR,MilesAustin82
83,Jermichael Finley,87.78,GBP,TE,JermichaelFinley83
85,Kyle Rudolph,89.98,MIN,TE,KyleRudolph85
86,Anquan Boldin,90.39,SFO,WR,AnquanBoldin86
87,Josh Gordon,92.36,CLE,WR,JoshGordon87
88,Greg Olsen,92.36,CAR,TE,GregOlsen88
89,BenJarvus Green-Ellis,92.91,CIN,RB,BenJarvusGreenEllis89
90,Mike Williams,95.63,TBB,WR,MikeWilliams90
91,DeAngelo Williams,96.51,CAR,RB,DeAngeloWilliams91
93,Eli Manning,98.83,NYG,QB,EliManning93
94,Mark Ingram,99.28,NOS,RB,MarkIngram94
95,Kenny Britt,99.79,TEN,WR,KennyBritt95
96,Ben Tate,101.07,HOU,RB,BenTate96
97,Lance Moore,102.73,NOS,WR,LanceMoore97
98,Jared Cook,103.36,STL,TE,JaredCook98
99,Owen Daniels,107.86,HOU,TE,OwenDaniels99
100,Antonio Gates,108.14,SDC,TE,AntonioGates100
102,Andre Brown,110.87,NYG,RB,AndreBrown102
103,Michael Vick,112.24,PHI,QB,MichaelVick103
105,Andy Dalton,113.56,CIN,QB,AndyDalton105
106,Justin Blackmon,113.64,JAC,WR,JustinBlackmon106
107,DeAndre Hopkins,116.26,HOU,WR,DeAndreHopkins107
108,Chris Givens,116.55,STL,WR,ChrisGivens108
109,Vick Ballard,118.18,IND,RB,VickBallard109
111,Vincent Brown,119.75,SDC,WR,VincentBrown111
112,Michael Floyd,120.19,ARI,WR,MichaelFloyd112
113,Kenbrell Thompkins,120.40,NEP,WR,KenbrellThompkins113
114,Golden Tate,120.84,SEA,WR,GoldenTate114
115,Emmanuel Sanders,122.31,PIT,WR,EmmanuelSanders115
116,Bryce Brown,122.52,PHI,RB,BryceBrown116
117,Jordan Cameron,122.57,CLE,TE,JordanCameron117
118,Ronnie Hillman,123.07,DEN,RB,RonnieHillman118
119,Sidney Rice,123.49,SEA,WR,SidneyRice119
120,Bernard Pierce,124.44,BAL,RB,BernardPierce120
122,Alshon Jeffery,126.59,CHI,WR,AlshonJeffery122
123,Ben Roethlisberger,127.19,PIT,QB,BenRoethlisberger123
125,Jonathan Stewart,129.02,CAR,RB,JonathanStewart125
126,Denarius Moore,130.11,OAK,WR,DenariusMoore126
127,Fred Jackson,131.69,BUF,RB,FredJackson127
128,Brandon Myers,131.71,NYG,TE,BrandonMyers128
129,Martellus Bennett,131.73,CHI,TE,MartellusBennett129
130,Danny Woodhead,132.00,SDC,RB,DannyWoodhead130
131,Jay Cutler,132.02,CHI,QB,JayCutler131
132,Brandon Pettigrew,132.25,DET,TE,BrandonPettigrew132
134,Joe Flacco,134.33,BAL,QB,JoeFlacco134
135,Kendall Wright,137.06,TEN,WR,KendallWright135
136,Cordarrelle Patterson,138.65,MIN,WR,CordarrellePatterson136
137,Zach Sudfeld,140.13,NYJ,TE,ZachSudfeld137
139,Matt Schaub,140.71,HOU,QB,MattSchaub139
140,Jacquizz Rodgers,140.78,ATL,RB,JacquizzRodgers140
141,Pierre Thomas,141.32,NOS,RB,PierreThomas141
142,Sam Bradford,141.61,STL,QB,SamBradford142
143,Ryan Broyles,142.56,DET,WR,RyanBroyles143
144,Fred Davis,143.60,WAS,TE,FredDavis144
145,Brian Hartline,143.82,MIA,WR,BrianHartline145
147,Jermaine Gresham,145.16,CIN,TE,JermaineGresham147
148,Mikel Leshoure,145.19,DET,RB,MikelLeshoure148
149,Carson Palmer,145.51,ARI,QB,CarsonPalmer149
150,Rueben Randle,147.03,NYG,WR,RuebenRandle150
152,Isaiah Pead,148.74,STL,RB,IsaiahPead152
155,Josh Freeman,151.76,MIN,QB,JoshFreeman155
157,Johnathan Franklin,152.21,GBP,RB,JohnathanFranklin157
158,Tyler Eifert,152.97,CIN,TE,TylerEifert158
161,Aaron Dobson,155.84,NEP,WR,AaronDobson161
162,Isaac Redman,156.33,FA,RB,IsaacRedman162
163,Darrius Heyward-Bey,157.23,IND,WR,DarriusHeywardBey163
164,Knowshon Moreno,157.43,DEN,RB,KnowshonMoreno164
165,Philip Rivers,157.64,SDC,QB,PhilipRivers165
166,Joique Bell,158.25,DET,RB,JoiqueBell166
167,Ryan Tannehill,160.47,MIA,QB,RyanTannehill167
168,Alex Smith,161.17,KCC,QB,AlexSmith168
169,Greg Little,161.49,CLE,WR,GregLittle169
170,Christine Michael,161.61,SEA,RB,ChristineMichael170
171,Michael Bush,161.97,CHI,RB,MichaelBush171
173,Coby Fleener,162.42,IND,TE,CobyFleener173
175,Zac Stacy,163.50,STL,RB,ZacStacy175
177,Mohamed Sanu,165.54,CIN,WR,MohamedSanu177
178,Heath Miller,165.69,PIT,TE,HeathMiller178
