,Player,Pos,Games,ADP,Pass Comp,Pass Att,Pass Yds,Pass Yds Per Game,Pass Yds Avg,Pass TD,Pass TD Per Game,Int,Rush Att,Rush Yds,Rush Yds Per Game,Rush Yds Avg,Rush TD,Rush TD Per Game,Rec,Rec Yds,Rec Yds Per Game,Rec Yds Avg,Rec TD,Rec TD Per Game,Fumbles Lost,Fantasy Total,Fantasy Avg,UID,Rush Avg,Rec Avg
0,Le'Veon Bell,RB,4,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LeVeonBell1,,
0,Ezekiel Elliott,RB,16,3.93,0,0,0,0,0,0,0,0,304,1434,89.625,0,6,0.375,77,567,35.4375,0,3,0.1875,1,252.1,15.75625,EzekielElliott2,4.717105263,7.363636364
0,David Johnson,RB,16,4.12,0,0,0,0,0,0,0,0,258,940,58.75,0,7,0.4375,50,446,27.875,0,3,0.1875,2,194.6,12.1625,DavidJohnson3,3.643410853,8.92
0,Antonio Brown,WR,16,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,1297,81.0625,0,15,0.9375,0,219.7,13.73125,AntonioBrown4,12.47115385,
0,Alvin Kamara,RB,16,6.83,0,0,0,0,0,0,0,0,194,883,55.1875,0,14,0.875,81,709,44.3125,0,4,0.25,0,267.2,16.7,AlvinKamara5,4.551546392,8.75308642
0,Saquon Barkley,RB,16,8.2,0,0,0,0,0,0,0,0,261,1307,81.6875,0,11,0.6875,91,721,45.0625,0,4,0.25,0,292.8,18.3,SaquonBarkley6,5.007662835,7.923076923
0,DeAndre Hopkins,WR,16,9.87,0,0,0,0,0,0,0,0,1,-7,-0.4375,0,0,0,115,1572,98.25,0,11,0.6875,2,218.5,13.65625,DeAndreHopkins7,-7,13.66956522
0,Todd Gurley,RB,16,10.38,0,0,0,0,0,0,0,0,256,1251,78.1875,0,17,1.0625,59,580,36.25,0,4,0.25,1,307.1,19.19375,ToddGurley8,4.88671875,9.830508475
0,Leonard Fournette,RB,15,10.63,0,0,0,0,0,0,0,0,133,439,29.26666667,0,5,0.333333333,22,185,12.33333333,0,1,0.066666667,0,98.4,6.56,LeonardFournette9,3.30075188,8.409090909
0,Odell Beckham,WR,16,11.11,0,0,0,0,0,0,0,0,5,19,1.1875,0,0,0,77,1052,65.75,0,6,0.375,1,141.1,8.81875,OdellBeckham10,3.8,13.66233766
0,Kareem Hunt,RB,11,11.83,0,0,0,0,0,0,0,0,181,824,74.90909091,0,7,0.636363636,26,378,34.36363636,0,7,0.636363636,0,204.2,18.56363636,KareemHunt11,4.552486188,14.53846154
0,Melvin Gordon,RB,16,12.99,0,0,0,0,0,0,0,0,175,885,55.3125,0,10,0.625,50,490,30.625,0,4,0.25,0,221.5,13.84375,MelvinGordon12,5.057142857,9.8
0,Dalvin Cook,RB,16,13.82,0,0,0,0,0,0,0,0,133,615,38.4375,0,2,0.125,40,305,19.0625,0,2,0.125,2,112,7,DalvinCook13,4.62406015,7.625
0,Julio Jones,WR,16,14.23,0,0,0,0,0,0,0,0,2,12,0.75,0,0,0,113,1677,104.8125,0,8,0.5,2,212.9,13.30625,JulioJones14,6,14.84070796
0,Michael Thomas,WR,16,17.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1405,87.8125,0,9,0.5625,2,190.5,11.90625,MichaelThomas15,11.24,
0,Christian McCaffrey,RB,16,17.15,0,0,0,0,0,0,0,0,219,1098,68.625,0,7,0.4375,107,867,54.1875,0,6,0.375,1,272.5,17.03125,ChristianMcCaffrey16,5.01369863,8.102803738
0,Davante Adams,WR,16,19.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,1386,86.625,0,13,0.8125,0,216.6,13.5375,DavanteAdams17,12.48648649,
0,Keenan Allen,WR,16,19.25,0,0,0,0,0,0,0,0,9,75,4.6875,0,0,0,97,1196,74.75,0,6,0.375,1,161.1,10.06875,KeenanAllen18,8.333333333,12.32989691
0,Aaron Rodgers,QB,16,22.23,372,597,4442,277.625,11.94086022,25,1.5625,2,43,269,16.8125,0,2,0.125,0,0,0,0,0,0,3,306.58,19.16125,AaronRodgers19,6.255813953,
0,Rob Gronkowski,TE,16,22.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,682,42.625,0,3,0.1875,1,84.2,5.2625,RobGronkowski20,14.5106383,
0,Mike Evans,WR,16,25.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1524,95.25,0,8,0.5,1,198.4,12.4,MikeEvans21,17.72093023,
0,Joe Mixon,RB,16,26.29,0,0,0,0,0,0,0,0,237,1168,73,0,8,0.5,43,296,18.5,0,1,0.0625,0,200.4,12.525,JoeMixon22,4.928270042,6.88372093
0,Travis Kelce,TE,16,27.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,1336,83.5,0,10,0.625,1,191.6,11.975,TravisKelce23,12.97087379,
0,Tyreek Hill,WR,16,27.75,0,0,0,0,0,0,0,0,22,151,9.4375,0,1,0.0625,87,1479,92.4375,0,12,0.75,0,241,15.0625,TyreekHill24,6.863636364,17
0,Jordan Howard,RB,16,28.04,0,0,0,0,0,0,0,0,250,935,58.4375,0,9,0.5625,20,145,9.0625,0,0,0,1,160,10,JordanHoward25,3.74,7.25
0,Stefon Diggs,WR,16,32.83,0,0,0,0,0,0,0,0,10,62,3.875,0,0,0,102,1021,63.8125,0,9,0.5625,0,162.3,10.14375,StefonDiggs26,6.2,10.00980392
0,LeSean McCoy,RB,16,33.96,0,0,0,0,0,0,0,0,161,514,32.125,0,3,0.1875,34,238,14.875,0,0,0,0,93.2,5.825,LeSeanMcCoy27,3.192546584,7
0,T.Y. Hilton,WR,16,34.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1270,79.375,0,6,0.375,0,163,10.1875,TYHilton28,16.71052632,
0,Deshaun Watson,QB,16,37.64,345,505,4165,260.3125,12.07246377,26,1.625,9,99,551,34.4375,0,5,0.3125,0,0,0,0,0,0,3,331.7,20.73125,DeshaunWatson29,5.565656566,
0,Amari Cooper,WR,15,39.29,0,0,0,0,0,0,0,0,2,20,1.333333333,0,0,0,75,1005,67,0,7,0.466666667,2,140.5,9.366666667,AmariCooper30,10,13.4
